exp,method,rank,alpha,use_crf,f1,precision,recall,test_f1,params,trainable,train_sec,sec_epoch,peak_MB
full,full,-,-,False,0.8868,0.8806,0.8931,0.8827,107723525,107723525,106.6,21.32,3206
lora-r8,lora,8,16,False,0.0502,0.8936,0.0258,0.0463,108022282,298757,70.7,14.14,1955
lora-r16,lora,16,-,False,0.4034,0.8544,0.264,0.383,108317194,593669,69.3,13.86,1960
lora-r24,lora,24,-,False,0.5204,0.8169,0.3818,0.4977,108612106,888581,71.0,14.2,1962
lora-r32,lora,32,64,False,0.5914,0.7796,0.4763,0.5743,108907018,1183493,70.7,14.14,1971
lora-r16-crf,lora,16,-,True,0.87,0.8558,0.8846,0.8615,108903976,593704,202.9,40.58,1961
lora-r24-aug,lora,24,-,False,0.6521,0.7498,0.577,0.65,108612106,888581,115.5,23.09,1968
lora-fusion-med-legal,lora,16,-,False,0.407,0.8541,0.2672,0.3863,108317194,593669,69.5,13.89,1962
lora-r32-fast,lora,32,-,False,0.8442,0.8357,0.8529,0.8373,108907018,1183493,69.7,13.94,1971
lora-r48,lora,48,-,False,0.8181,0.8253,0.8111,0.8123,109496842,1773317,40.5,13.5,1981
lora-r16-crf-long,lora,16,-,True,0.8614,0.8463,0.877,0.8553,108903976,593704,151.4,30.28,3261
